timestamp,side,price,amount,cost,pnl,proceeds
1751890920.0,buy,2545.31,0.00995,25.3258345,0.0,
1751890920.0,sell,2545.31,0.00995,,0.0,25.3258345
1751890980.0,buy,2548.5,0.00995,25.357575,0.0,
1751890980.0,sell,2548.5,0.00995,,0.031740500000000546,25.357575
1751891040.0,buy,2549.98,0.00995,25.372301,0.0,
1751891040.0,sell,2549.98,0.00995,,0.014726000000000182,25.372301
1751891100.0,buy,2549.02,0.00995,25.362749,0.0,
1751891100.0,sell,2549.02,0.00995,,0.0,25.362749
1751891160.0,buy,2548.5,0.008293294616025605,21.135461328941254,0.0,
1751891160.0,sell,2548.5,0.008293294616025605,,0.0,21.135461328941254
1751891220.0,buy,2548.59,0.008253635315880086,21.03513242969883,0.0,
1751891220.0,sell,2548.59,0.008253635315880086,,0.0,21.03513242969883
1751891280.0,buy,2549.82,0.00793531291412944,20.233619574705532,0.0,
1751891280.0,sell,2549.82,0.00793531291412944,,0.0,20.233619574705532
1751891340.0,buy,2549.83,0.004975,12.68540425,0.0,
1751891340.0,sell,2549.83,0.004975,,0.0,12.68540425
1751891400.0,buy,2550.53,0.004975,12.688886750000002,0.0,
1751891400.0,sell,2550.53,0.004975,,0.002736250000000905,12.688886750000002
1751891460.0,buy,2549.72,0.004975,12.684857,0.0,
1751891460.0,sell,2549.72,0.004975,,0.0,12.684857
1751891520.0,buy,2549.67,0.0051727748519151,13.188868856682372,0.0,
1751891520.0,sell,2549.67,0.0051727748519151,,0.0,13.188868856682372
1751891580.0,buy,2551.34,0.0056368838090313424,14.381607137334026,0.0,
1751891580.0,sell,2551.34,0.0056368838090313424,,0.008301570436953455,14.381607137334026
1751891640.0,buy,2551.54,0.006060701012313639,15.464121060958743,0.0,
1751891640.0,sell,2551.54,0.006060701012313639,,0.01527296655103026,15.464121060958743
1751891700.0,buy,2549.5,0.009845069367703633,25.10000435296041,0.0,
1751891700.0,sell,2549.5,0.009845069367703633,,0.00816681347480308,25.10000435296041
1751891760.0,buy,2550.89,0.00891430092048794,22.73940107506348,0.0,
1751891760.0,sell,2550.89,0.00891430092048794,,0.020653699755548,22.73940107506348
1751891820.0,buy,2550.84,0.007702451553108687,19.647721519731764,0.0,
1751891820.0,sell,2550.84,0.007702451553108687,,0.00910491961568478,19.647721519731764
1751891880.0,buy,2551.47,0.004975,12.69356325,0.0,
1751891880.0,sell,2551.47,0.004975,,0.008171478361832971,12.69356325
1751891940.0,buy,2551.49,0.0066394802824231314,16.940567545799794,0.0,
1751891940.0,sell,2551.49,0.0066394802824231314,,0.007584868119713784,16.940567545799794
1751892000.0,buy,2553.95,0.005876686327930094,15.008763047217064,0.0,
1751892000.0,sell,2553.95,0.005876686327930094,,0.02492429968849221,15.008763047217064
1751892060.0,buy,2551.38,0.004975,12.693115500000001,0.0,
1751892060.0,sell,2551.38,0.004975,,0.00663592218966955,12.693115500000001
